ascent_rate,descent_rate,et_dysfunction,max_pressure_differential,barotitis_risk,baromyringitis_risk,et_locked_duration,et_collapse_duration,overall_risk,pressure_control,et_function_score
1000.0,1000.0,0.0,0.0,0.0,0.0,88.86,0.0,0.89,100.0,11.14
1000.0,1000.0,0.1,0.0,0.0,0.0,89.03,0.0,4.45,100.0,10.97
1000.0,1000.0,0.2,0.0,0.0,0.0,89.62,0.0,4.48,100.0,10.38
1000.0,1000.0,0.3,0.0,0.0,0.0,90.05,0.0,27.02,100.0,9.95
1000.0,1000.0,0.4,13.87,0.0,0.0,90.32,0.0,100.0,99.98,9.68
1000.0,1000.0,0.5,14.86,0.0,0.0,90.86,0.0,100.0,99.97,9.14
1000.0,1000.0,0.6,39.29,0.0,0.0,90.54,0.0,100.0,99.76,9.46
1000.0,1000.0,0.7,47.34,0.0,0.0,90.76,0.0,100.0,99.63,9.24
1000.0,1000.0,0.8,245.97,98.32,98.22,98.97,98.43,100.0,-164.6,1.03
1000.0,1000.0,0.9,465.32,99.46,99.46,99.84,99.57,100.0,-409.53,0.16
1000.0,1000.0,1.0,477.96,99.57,99.57,99.89,99.57,100.0,-424.55,0.11
1000.0,4400.0,0.0,0.0,0.0,0.0,89.07,0.0,0.89,100.0,10.93
1000.0,4400.0,0.1,0.0,0.0,0.0,89.34,0.0,4.47,100.0,10.66
1000.0,4400.0,0.2,0.0,0.0,0.0,90.11,0.0,4.51,100.0,9.89
1000.0,4400.0,0.3,0.0,0.0,0.0,89.78,0.0,26.93,100.0,10.22
1000.0,4400.0,0.4,5.06,0.0,0.0,90.93,0.0,100.0,100.0,9.07
1000.0,4400.0,0.5,38.6,0.0,0.0,89.56,0.0,100.0,99.95,10.44
1000.0,4400.0,0.6,477.87,0.22,0.22,91.75,0.27,100.0,98.99,8.25
1000.0,4400.0,0.7,477.91,0.27,0.22,92.68,0.27,100.0,98.88,7.32
1000.0,4400.0,0.8,390.9,99.45,99.4,99.78,99.56,100.0,-326.55,0.22
1000.0,4400.0,0.9,465.32,99.67,99.62,99.89,99.73,100.0,-411.91,0.11
1000.0,4400.0,1.0,477.96,99.73,99.73,99.95,99.73,100.0,-426.91,0.05
1000.0,7800.0,0.0,0.0,0.0,0.0,89.72,0.0,0.9,100.0,10.28
1000.0,7800.0,0.1,15.02,0.0,0.0,88.73,0.0,100.0,99.99,11.27
1000.0,7800.0,0.2,38.25,0.0,0.0,90.1,0.0,100.0,99.98,9.9
1000.0,7800.0,0.3,341.44,0.11,0.11,91.52,0.11,100.0,99.7,8.48
1000.0,7800.0,0.4,349.49,0.11,0.11,90.65,0.11,100.0,99.69,9.35
1000.0,7800.0,0.5,370.8,0.11,0.11,90.48,0.11,100.0,99.64,9.52
1000.0,7800.0,0.6,477.9,0.16,0.16,91.9,0.16,100.0,99.31,8.1
1000.0,7800.0,0.7,477.93,0.16,0.16,91.79,0.16,100.0,99.23,8.21
1000.0,7800.0,0.8,419.89,99.56,99.56,99.84,99.62,100.0,-358.92,0.16
1000.0,7800.0,0.9,477.94,99.73,99.67,99.95,99.73,100.0,-426.2,0.05
1000.0,7800.0,1.0,477.96,99.73,99.73,99.95,99.73,100.0,-427.21,0.05
1000.0,11200.0,0.0,61.37,0.0,0.0,90.15,0.0,68.19,99.96,9.85
1000.0,11200.0,0.1,92.17,0.0,0.0,90.31,0.0,100.0,99.94,9.69
1000.0,11200.0,0.2,138.63,0.05,0.0,90.31,0.0,100.0,99.9,9.69
1000.0,11200.0,0.3,477.82,0.11,0.11,90.09,0.11,100.0,99.56,9.91
1000.0,11200.0,0.4,444.59,0.11,0.11,90.91,0.11,100.0,99.62,9.09
1000.0,11200.0,0.5,477.89,0.11,0.11,90.37,0.11,100.0,99.55,9.63
1000.0,11200.0,0.6,477.92,0.11,0.11,92.56,0.11,100.0,99.38,7.44
1000.0,11200.0,0.7,477.94,0.11,0.11,91.68,0.11,100.0,99.22,8.32
1000.0,11200.0,0.8,390.9,99.51,99.45,99.78,99.62,100.0,-326.97,0.22
1000.0,11200.0,0.9,465.32,99.67,99.67,99.89,99.73,100.0,-412.32,0.11
1000.0,11200.0,1.0,477.96,99.73,99.73,99.95,99.73,100.0,-427.33,0.05
1000.0,14600.0,0.0,124.38,0.0,0.0,89.59,0.0,100.0,99.92,10.41
1000.0,14600.0,0.1,148.13,0.05,0.05,89.54,0.0,100.0,99.91,10.46
1000.0,14600.0,0.2,171.93,0.05,0.05,89.87,0.0,100.0,99.9,10.13
1000.0,14600.0,0.3,477.87,0.11,0.11,90.42,0.11,100.0,99.62,9.58
1000.0,14600.0,0.4,477.89,0.11,0.11,90.74,0.11,100.0,99.62,9.26
1000.0,14600.0,0.5,477.91,0.11,0.11,91.29,0.11,100.0,99.61,8.71
1000.0,14600.0,0.6,477.93,0.11,0.11,91.79,0.11,100.0,99.48,8.21
1000.0,14600.0,0.7,477.95,0.11,0.11,92.28,0.11,100.0,99.4,7.72
1000.0,14600.0,0.8,477.96,0.11,0.11,91.18,0.11,100.0,99.19,8.82
1000.0,14600.0,0.9,477.94,99.73,99.67,99.95,99.73,100.0,-426.38,0.05
1000.0,14600.0,1.0,477.96,99.73,99.73,99.95,99.73,100.0,-427.39,0.05
1000.0,18000.0,0.0,180.68,0.05,0.05,89.54,0.0,100.0,99.89,10.46
1000.0,18000.0,0.1,204.43,0.05,0.05,89.32,0.0,100.0,99.88,10.68
1000.0,18000.0,0.2,227.66,0.05,0.05,89.65,0.0,100.0,99.86,10.35
1000.0,18000.0,0.3,380.63,0.05,0.05,91.79,0.05,100.0,99.75,8.21
1000.0,18000.0,0.4,380.64,0.05,0.05,90.53,0.05,100.0,99.77,9.47
1000.0,18000.0,0.5,390.88,0.05,0.05,91.29,0.05,100.0,99.74,8.71
1000.0,18000.0,0.6,477.93,0.05,0.05,91.29,0.11,100.0,99.52,8.71
1000.0,18000.0,0.7,477.95,0.05,0.05,91.29,0.11,100.0,99.38,8.71
1000.0,18000.0,0.8,332.93,99.4,99.4,99.67,99.45,100.0,-262.97,0.33
1000.0,18000.0,0.9,465.32,99.67,99.67,99.89,99.73,100.0,-412.42,0.11
1000.0,18000.0,1.0,477.96,99.73,99.73,99.89,99.73,100.0,-427.42,0.11
1500.0,1000.0,0.0,0.0,0.0,0.0,89.52,0.0,0.9,100.0,10.48
1500.0,1000.0,0.1,0.0,0.0,0.0,89.41,0.0,4.47,100.0,10.59
1500.0,1000.0,0.2,0.0,0.0,0.0,89.19,0.0,4.46,100.0,10.81
1500.0,1000.0,0.3,0.0,0.0,0.0,89.14,0.0,26.74,100.0,10.86
1500.0,1000.0,0.4,14.36,0.0,0.0,90.49,0.0,100.0,99.99,9.51
1500.0,1000.0,0.5,12.95,0.0,0.0,89.79,0.0,100.0,99.98,10.21
1500.0,1000.0,0.6,33.66,0.0,0.0,90.39,0.0,100.0,99.83,9.61
1500.0,1000.0,0.7,48.81,0.0,0.0,91.04,0.0,100.0,99.63,8.96
1500.0,1000.0,0.8,448.91,99.46,99.46,99.84,99.57,100.0,-389.34,0.16
1500.0,1000.0,0.9,465.33,99.57,99.51,99.84,99.62,100.0,-410.53,0.16
1500.0,1000.0,1.0,477.96,99.62,99.62,99.89,99.62,100.0,-425.57,0.11
1500.0,4400.0,0.0,0.0,0.0,0.0,91.05,0.0,0.91,100.0,8.95
1500.0,4400.0,0.1,0.0,0.0,0.0,90.01,0.0,4.5,100.0,9.99
1500.0,4400.0,0.2,0.0,0.0,0.0,91.16,0.0,4.56,100.0,8.84
1500.0,4400.0,0.3,12.25,0.0,0.0,90.89,0.0,100.0,99.99,9.11
1500.0,4400.0,0.4,5.05,0.0,0.0,91.22,0.0,100.0,100.0,8.78
1500.0,4400.0,0.5,38.57,0.0,0.0,91.16,0.0,100.0,99.97,8.84
1500.0,4400.0,0.6,477.87,0.22,0.22,92.15,0.27,100.0,99.07,7.85
1500.0,4400.0,0.7,477.91,0.27,0.22,91.93,0.27,100.0,98.98,8.07
1500.0,4400.0,0.8,448.91,99.67,99.67,99.89,99.73,100.0,-391.77,0.11
1500.0,4400.0,0.9,465.33,99.78,99.67,99.89,99.78,100.0,-412.95,0.11
1500.0,4400.0,1.0,477.96,99.78,99.78,99.95,99.78,100.0,-427.94,0.05
1500.0,7800.0,0.0,0.0,0.0,0.0,88.24,0.0,0.88,100.0,11.76
1500.0,7800.0,0.1,15.08,0.0,0.0,90.16,0.0,100.0,99.99,9.84
1500.0,7800.0,0.2,38.31,0.0,0.0,89.72,0.0,100.0,99.98,10.28
1500.0,7800.0,0.3,347.46,0.11,0.11,90.16,0.11,100.0,99.68,9.84
1500.0,7800.0,0.4,349.6,0.11,0.11,90.65,0.11,100.0,99.68,9.35
1500.0,7800.0,0.5,390.83,0.11,0.11,90.21,0.11,100.0,99.6,9.79
1500.0,7800.0,0.6,477.9,0.16,0.16,92.85,0.16,100.0,99.34,7.15
1500.0,7800.0,0.7,477.93,0.16,0.16,92.36,0.16,100.0,99.26,7.64
1500.0,7800.0,0.8,448.91,99.73,99.73,99.89,99.78,100.0,-392.06,0.11
1500.0,7800.0,0.9,465.33,99.78,99.73,99.89,99.78,100.0,-413.25,0.11
1500.0,7800.0,1.0,477.96,99.78,99.78,99.95,99.78,100.0,-428.25,0.05
1500.0,11200.0,0.0,61.45,0.0,0.0,90.48,0.0,68.28,99.96,9.52
1500.0,11200.0,0.1,92.28,0.0,0.0,91.58,0.0,100.0,99.94,8.42
1500.0,11200.0,0.2,138.74,0.06,0.0,91.58,0.0,100.0,99.9,8.42
1500.0,11200.0,0.3,444.68,0.11,0.11,90.15,0.11,100.0,99.62,9.85
1500.0,11200.0,0.4,477.86,0.11,0.11,90.92,0.11,100.0,99.56,9.08
1500.0,11200.0,0.5,477.89,0.11,0.11,90.87,0.11,100.0,99.56,9.13
1500.0,11200.0,0.6,477.92,0.11,0.11,92.9,0.11,100.0,99.51,7.1
1500.0,11200.0,0.7,477.94,0.11,0.11,92.74,0.11,100.0,99.36,7.26
1500.0,11200.0,0.8,448.91,99.72,99.72,99.89,99.78,100.0,-392.18,0.11
1500.0,11200.0,0.9,477.95,99.78,99.78,99.94,99.78,100.0,-427.36,0.06
1500.0,11200.0,1.0,477.96,99.78,99.78,99.94,99.78,100.0,-428.37,0.06
1500.0,14600.0,0.0,124.33,0.0,0.0,90.7,0.0,100.0,99.92,9.3
1500.0,14600.0,0.1,148.08,0.06,0.06,89.82,0.0,100.0,99.91,10.18
1500.0,14600.0,0.2,171.93,0.06,0.06,90.76,0.0,100.0,99.89,9.24
1500.0,14600.0,0.3,477.87,0.11,0.11,91.53,0.11,100.0,99.61,8.47
1500.0,14600.0,0.4,477.89,0.11,0.11,91.42,0.11,100.0,99.61,8.58
1500.0,14600.0,0.5,477.91,0.11,0.11,91.25,0.11,100.0,99.61,8.75
1500.0,14600.0,0.6,477.93,0.11,0.11,90.59,0.11,100.0,99.54,9.41
1500.0,14600.0,0.7,477.95,0.11,0.11,92.46,0.11,100.0,99.46,7.54
1500.0,14600.0,0.8,448.91,99.72,99.72,99.89,99.78,100.0,-392.26,0.11
1500.0,14600.0,0.9,477.95,99.78,99.78,99.94,99.78,100.0,-427.42,0.06
1500.0,14600.0,1.0,477.96,99.78,99.78,99.94,99.78,100.0,-428.43,0.06
1500.0,18000.0,0.0,180.63,0.06,0.06,90.1,0.0,100.0,99.89,9.9
1500.0,18000.0,0.1,204.38,0.06,0.06,90.54,0.0,100.0,99.88,9.46
1500.0,18000.0,0.2,227.61,0.06,0.06,89.71,0.0,100.0,99.86,10.29
1500.0,18000.0,0.3,380.58,0.06,0.06,91.47,0.06,100.0,99.77,8.53
1500.0,18000.0,0.4,380.59,0.06,0.06,91.14,0.06,100.0,99.77,8.86
1500.0,18000.0,0.5,477.91,0.06,0.06,90.21,0.06,100.0,99.63,9.79
1500.0,18000.0,0.6,477.93,0.06,0.06,91.97,0.11,100.0,99.57,8.03
1500.0,18000.0,0.7,477.95,0.06,0.06,91.86,0.11,100.0,99.5,8.14
1500.0,18000.0,0.8,419.92,99.67,99.67,99.78,99.72,100.0,-360.12,0.22
1500.0,18000.0,0.9,465.33,99.78,99.72,99.89,99.78,100.0,-413.46,0.11
1500.0,18000.0,1.0,477.96,99.78,99.78,99.94,99.78,100.0,-428.46,0.06
2000.0,1000.0,0.0,0.0,0.0,0.0,89.6,0.0,0.9,100.0,10.4
2000.0,1000.0,0.1,0.0,0.0,0.0,91.13,0.0,4.56,100.0,8.87
2000.0,1000.0,0.2,0.0,0.0,0.0,90.36,0.0,4.52,100.0,9.64
2000.0,1000.0,0.3,0.0,0.0,0.0,89.33,0.0,26.8,100.0,10.67
2000.0,1000.0,0.4,0.0,0.0,0.0,89.71,0.0,26.91,100.0,10.29
2000.0,1000.0,0.5,15.9,0.0,0.0,91.13,0.0,100.0,99.98,8.87
2000.0,1000.0,0.6,374.09,99.13,99.13,99.46,99.29,100.0,-294.87,0.54
2000.0,1000.0,0.7,477.85,99.62,99.51,99.84,99.67,100.0,-416.89,0.16
2000.0,1000.0,0.8,477.91,99.62,99.56,99.78,99.67,100.0,-421.96,0.22
2000.0,1000.0,0.9,477.95,99.67,99.56,99.89,99.67,100.0,-425.05,0.11
2000.0,1000.0,1.0,477.96,99.67,99.67,99.95,99.67,100.0,-426.08,0.05
2000.0,4400.0,0.0,0.0,0.0,0.0,89.6,0.0,0.9,100.0,10.4
2000.0,4400.0,0.1,0.0,0.0,0.0,90.59,0.0,4.53,100.0,9.41
2000.0,4400.0,0.2,0.0,0.0,0.0,90.37,0.0,4.52,100.0,9.63
2000.0,4400.0,0.3,0.0,0.0,0.0,90.76,0.0,27.23,100.0,9.24
2000.0,4400.0,0.4,12.29,0.0,0.0,91.64,0.0,100.0,99.99,8.36
2000.0,4400.0,0.5,38.55,0.0,0.0,91.36,0.0,100.0,99.97,8.64
2000.0,4400.0,0.6,424.4,99.67,99.67,99.89,99.78,100.0,-353.16,0.11
2000.0,4400.0,0.7,477.85,99.78,99.72,99.94,99.83,100.0,-419.4,0.06
2000.0,4400.0,0.8,477.91,99.83,99.72,99.94,99.83,100.0,-424.44,0.06
2000.0,4400.0,0.9,477.95,99.83,99.78,99.94,99.83,100.0,-427.46,0.06
2000.0,4400.0,1.0,477.96,99.83,99.83,99.94,99.83,100.0,-428.46,0.06
2000.0,7800.0,0.0,0.0,0.0,0.0,89.75,0.0,0.9,100.0,10.25
2000.0,7800.0,0.1,15.06,0.0,0.0,91.24,0.0,100.0,99.99,8.76
2000.0,7800.0,0.2,38.29,0.0,0.0,90.8,0.0,100.0,99.98,9.2
2000.0,7800.0,0.3,341.51,0.11,0.11,91.13,0.11,100.0,99.7,8.87
2000.0,7800.0,0.4,369.51,0.11,0.11,91.63,0.11,100.0,99.64,8.37
2000.0,7800.0,0.5,370.89,0.11,0.11,91.96,0.11,100.0,99.64,8.04
2000.0,7800.0,0.6,424.38,99.72,99.67,99.89,99.83,100.0,-353.47,0.11
2000.0,7800.0,0.7,477.85,99.83,99.78,99.94,99.83,100.0,-419.72,0.06
2000.0,7800.0,0.8,477.91,99.83,99.78,99.94,99.83,100.0,-424.75,0.06
2000.0,7800.0,0.9,477.95,99.83,99.78,99.94,99.83,100.0,-427.77,0.06
2000.0,7800.0,1.0,477.96,99.83,99.83,99.94,99.83,100.0,-428.77,0.06
